"P0" "P1" "P2" "P3" "P4"
1 -1 1 -1 1
1 -0.992729035385361 0.978266406545724 -0.956769753276494 0.928473145038818
1 -0.982515061283845 0.948003768474395 -0.897369926943997 0.83193624398411
1 -0.972301087182328 0.918054106203906 -0.839507617802212 0.73990421694921
1 -0.962087113080812 0.888417419734256 -0.783166842217515 0.652267706206221
1 -0.951873138979295 0.859093709065444 -0.728331616556286 0.568918496822186
1 -0.941659164877779 0.830082974197473 -0.674985957184906 0.489749516659087
1 -0.931445190776262 0.801385215130341 -0.623113880469752 0.414654836373843
1 -0.921231216674746 0.773000431864048 -0.572699402777204 0.343529669418316
1 -0.911132654709969 0.745244071718254 -0.524271912645887 0.277009150439419
1 -0.901034092745193 0.71779365443373 -0.477238195171459 0.214168556541623
1 -0.890935530780417 0.690649180010475 -0.431582802439209 0.154909908034178
1 -0.880836968815641 0.663810648448489 -0.387290286534426 0.0991363172384017
1 -0.870738406850864 0.637278059747772 -0.344345199542399 0.0467519884876813
1 -0.860639844886088 0.611051413908325 -0.302732093548418 -0.00233778187252964
1 -0.850541282921312 0.585130710930147 -0.26243552063777 -0.0482266054847107
1 -0.840442720956536 0.559515950813238 -0.223440032895745 -0.0910070019792726
1 -0.83034415899176 0.534207133557599 -0.185730182407632 -0.130770398974559
1 -0.820245597026983 0.509204259163228 -0.149290521258719 -0.167607132076848
1 -0.810147035062207 0.484507327630128 -0.114105601534298 -0.201606444880344
1 -0.800048473097431 0.460116338958296 -0.0801599753196542 -0.232856488967192
1 -0.789949911132655 0.436031293147734 -0.0474381947000782 -0.261444323907465
1 -0.779851349167878 0.41225219019844 -0.0159248117608587 -0.287455917259168
1 -0.769752787203102 0.388779030110417 0.0143956214127149 -0.310976144568239
1 -0.759654225238326 0.365611812883662 0.0435385527353538 -0.33208878936855
1 -0.74955566327355 0.342750538518177 0.0715194301217692 -0.350876543181903
1 -0.739457101308774 0.320195207013961 0.0983537014866721 -0.367421005518036
1 -0.729358539343997 0.297945818371014 0.124056814744774 -0.381802683874615
1 -0.719259977379221 0.276002372589337 0.148644217810785 -0.394100993737242
1 -0.709161415414445 0.254364869668929 0.172131358599416 -0.40439425857945
1 -0.699062853449669 0.23303330960979 0.19453368502538 -0.412759709862704
1 -0.688964291484893 0.21200769241192 0.215866645003386 -0.419273487036402
1 -0.678865729520116 0.19128801807532 0.236145686448146 -0.424010637537876
1 -0.66876716755534 0.170874286599989 0.25538625727437 -0.427045116792387
1 -0.658668605590564 0.150766497985927 0.273603805396771 -0.428449788213131
1 -0.648570043625788 0.130964652233134 0.290813778730058 -0.428296423201236
1 -0.638471481661012 0.111468749341611 0.307031625188944 -0.426655701145762
1 -0.628372919696235 0.0922787893113571 0.322272792688138 -0.423597209423701
1 -0.618274357731459 0.0733947721423724 0.336552729142353 -0.41918944339998
1 -0.608175795766683 0.054816697834657 0.349886882466298 -0.413499806427456
1 -0.598077233801907 0.0365445663882108 0.362290700574686 -0.406594609846918
1 -0.58797867183713 0.018578377803034 0.373779631382226 -0.398539072987089
1 -0.577880109872354 0.000918132079126388 0.384369122803631 -0.389397323164625
1 -0.567781547907578 -0.0164361707835119 0.394074622753612 -0.379232395684112
1 -0.557682985942802 -0.033484530784881 0.402911579146878 -0.36810623383807
1 -0.547584423978026 -0.050226947924981 0.410895439898142 -0.356079688906952
1 -0.537485862013249 -0.0666634222038113 0.418041652922114 -0.343212520159142
1 -0.527387300048473 -0.0827939536213725 0.424365666133506 -0.329563394850958
1 -0.517288738083697 -0.0986185421776646 0.429882927447028 -0.315189888226649
1 -0.507190176118921 -0.114137187872687 0.434608884777391 -0.300148483518397
1 -0.497091614154144 -0.129349890706441 0.438558986039308 -0.284494571946317
1 -0.486993052189368 -0.144256650678925 0.441748679147487 -0.268282452718456
1 -0.476894490224592 -0.15885746779014 0.444193412016642 -0.251565333030793
1 -0.466795928259816 -0.173152342040085 0.445908632561482 -0.234395328067239
1 -0.45669736629504 -0.187141273428762 0.446909788696719 -0.216823460999641
1 -0.446598804330263 -0.200824261956169 0.447212328337063 -0.198899662987773
1 -0.436500242365487 -0.214201307622306 0.446831699397227 -0.180672773179346
1 -0.426401680400711 -0.227272410427175 0.44578334979192 -0.162190538710001
1 -0.416303118435935 -0.240037570370774 0.444082727435854 -0.143499614703312
1 -0.406204556471158 -0.252496787453104 0.44174528024374 -0.124645564270785
1 -0.396105994506382 -0.264650061674165 0.438786456130289 -0.10567285851186
1 -0.386007432541606 -0.276497393033956 0.435221703010212 -0.0866248765139084
1 -0.37590887057683 -0.288038781532478 0.43106646879822 -0.0675439053522334
1 -0.365810308612054 -0.299274227169731 0.426336201409024 -0.048471140090072
1 -0.355711746647277 -0.310203729945715 0.421046348757336 -0.0294466837785927
1 -0.345613184682501 -0.320827289860429 0.415212358757865 -0.0105095474568968
