a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.101613E+03  0.229654E+01  0.643284E+01  0.966957E+01  0.192985E-02  0.280316E-03  0.251862E-03  0.626865E-03  0.209338E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.201830E+03
  0.101613E+03  0.229654E+01  0.643284E+01  0.966957E+01  0.192985E-02  0.161779E-02  0.251862E-03  0.626865E-03  0.209338E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.199961E+03
  0.101613E+03  0.381442E+01  0.643284E+01  0.966957E+01  0.192985E-02  0.161779E-02  0.251862E-03  0.626865E-03  0.214469E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.199916E+03
  0.101613E+03  0.127923E+01  0.643284E+01  0.709637E+01  0.192985E-02  0.161779E-02  0.251862E-03  0.626865E-03  0.214469E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.200205E+03
  0.101613E+03  0.128551E-01  0.643284E+01  0.192955E+01  0.192985E-02  0.161779E-02  0.251862E-03  0.626865E-03  0.214469E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.200884E+03
  0.991411E+02 -0.328202E+00  0.643284E+01 -0.300577E+01  0.192985E-02  0.161779E-02  0.251862E-03  0.626865E-03  0.115159E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.202407E+03
  0.102048E+03 -0.328202E+00  0.512971E+01 -0.300577E+01  0.192985E-02  0.161779E-02  0.251862E-03  0.626865E-03  0.115159E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.202083E+03
  0.102048E+03 -0.328202E+00  0.512971E+01 -0.517119E+01  0.192985E-02  0.161779E-02  0.251862E-03  0.721043E-03  0.115159E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.202152E+03
  0.998774E+02 -0.328202E+00 -0.804604E+01 -0.321602E+01  0.192985E-02  0.143632E-02  0.984697E-03  0.721043E-03  0.219183E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.201850E+03
  0.998774E+02 -0.328202E+00 -0.804604E+01 -0.293211E+01  0.192985E-02  0.143632E-02  0.984697E-03  0.721043E-03  0.295142E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.200783E+03
  0.998774E+02  0.125022E+01 -0.804604E+01 -0.293211E+01  0.192985E-02  0.143632E-02  0.984697E-03  0.296148E-03  0.295142E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.200297E+03
  0.998774E+02  0.125022E+01 -0.804604E+01 -0.293211E+01  0.125495E-02  0.143632E-02  0.984697E-03  0.296148E-03  0.320483E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.201322E+03
  0.998774E+02  0.125022E+01 -0.804604E+01 -0.467801E+01  0.134665E-02  0.143632E-02  0.153048E-02  0.122059E-02  0.320483E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.200286E+03
  0.998774E+02  0.125022E+01  0.124990E+01 -0.467801E+01  0.134665E-02  0.143632E-02  0.153048E-02  0.122059E-02  0.320483E-02  0.109053E-02  0.103654E-03  0.340911E-03  0.770679E-03  0.200558E+03
  0.998774E+02  0.125022E+01 -0.103544E+01 -0.676710E+01  0.134665E-02  0.143632E-02  0.153048E-02  0.122059E-02  0.320483E-02  0.241975E-03  0.103654E-03  0.340911E-03  0.770679E-03  0.199257E+03
  0.998774E+02  0.125022E+01  0.135789E+01 -0.317277E+01  0.134665E-02  0.143632E-02  0.153048E-02  0.122059E-02  0.320483E-02  0.241975E-03  0.103654E-03  0.425800E-04  0.770679E-03  0.200139E+03
  0.998774E+02  0.125022E+01  0.618146E+01 -0.610818E+01  0.134665E-02  0.114912E-02  0.153048E-02  0.122059E-02  0.320483E-02  0.241975E-03  0.103654E-03  0.425800E-04  0.770679E-03  0.200061E+03
  0.100102E+03  0.125022E+01  0.123885E+02 -0.610818E+01  0.134665E-02  0.123674E-02  0.153048E-02  0.122059E-02  0.320483E-02  0.241975E-03  0.103654E-03  0.425800E-04  0.770679E-03  0.198681E+03
  0.100102E+03  0.125022E+01 -0.146868E+01 -0.843504E+01  0.134665E-02  0.123674E-02  0.153048E-02  0.122059E-02  0.587735E-03  0.241975E-03  0.103654E-03  0.425800E-04  0.770679E-03  0.203218E+03
  0.995156E+02  0.125022E+01 -0.308805E+01 -0.843504E+01  0.134665E-02  0.123674E-02  0.153048E-02  0.122059E-02  0.587735E-03  0.174594E-02  0.103654E-03  0.425800E-04  0.770679E-03  0.203950E+03
  0.995156E+02  0.125022E+01 -0.194091E+01 -0.843504E+01  0.134665E-02  0.123674E-02  0.153048E-02  0.122059E-02  0.587735E-03  0.174594E-02  0.103654E-03  0.425800E-04  0.770679E-03  0.203890E+03
  0.995156E+02  0.283734E+01  0.365603E+01  0.127017E+01  0.134665E-02  0.123674E-02  0.153048E-02  0.122059E-02  0.587735E-03  0.174594E-02  0.103654E-03  0.425800E-04  0.770679E-03  0.203361E+03
  0.995156E+02  0.283734E+01  0.365603E+01  0.127017E+01  0.134665E-02  0.123674E-02  0.153048E-02  0.122059E-02  0.587735E-03  0.174594E-02  0.103654E-03  0.425800E-04  0.770679E-03  0.203361E+03
  0.995156E+02  0.283734E+01  0.365603E+01  0.127017E+01  0.156065E-02  0.212745E-03  0.586322E-04  0.122059E-02  0.587735E-03  0.174594E-02  0.103654E-03  0.425800E-04  0.770679E-03  0.205830E+03
  0.995156E+02  0.283734E+01 -0.456016E+01  0.127017E+01  0.156065E-02  0.212745E-03  0.586322E-04  0.122059E-02  0.587735E-03  0.151449E-02  0.103654E-03  0.425800E-04  0.770679E-03  0.207141E+03
  0.995156E+02  0.283734E+01 -0.456016E+01  0.127017E+01  0.156065E-02  0.212745E-03  0.586322E-04  0.122059E-02  0.587735E-03  0.151449E-02  0.103654E-03  0.425800E-04  0.770679E-03  0.207141E+03
  0.995156E+02  0.283734E+01 -0.205569E+01 -0.103251E+02  0.156065E-02  0.212745E-03  0.586322E-04  0.122059E-02  0.587735E-03  0.151449E-02  0.103654E-03  0.425800E-04  0.811427E-03  0.205407E+03
  0.995156E+02  0.283734E+01 -0.205569E+01  0.488743E+01  0.156065E-02  0.212745E-03  0.586322E-04  0.161736E-02  0.587735E-03  0.151449E-02  0.103654E-03  0.425800E-04  0.811427E-03  0.206047E+03
  0.995156E+02  0.283734E+01 -0.205569E+01  0.488743E+01  0.156065E-02  0.467731E-04  0.586322E-04  0.161736E-02  0.587735E-03  0.156429E-03  0.103654E-03  0.425800E-04  0.811427E-03  0.206058E+03
  0.995156E+02  0.283734E+01 -0.347776E+01  0.488743E+01  0.147568E-02  0.467731E-04  0.586322E-04  0.161736E-02  0.550374E-04  0.156429E-03  0.103654E-03  0.425800E-04  0.811427E-03  0.205524E+03
  0.995156E+02  0.283734E+01 -0.312880E+01  0.488743E+01  0.147568E-02  0.467731E-04  0.586322E-04  0.279330E-03  0.550374E-04  0.156429E-03  0.103654E-03  0.425800E-04  0.811427E-03  0.206075E+03
  0.995156E+02  0.283734E+01 -0.414744E+01  0.488743E+01  0.147568E-02  0.467731E-04  0.586322E-04  0.279330E-03  0.550374E-04  0.670075E-03  0.103654E-03  0.134605E-02  0.811427E-03  0.204831E+03
  0.100762E+03  0.283734E+01 -0.526928E+01  0.488743E+01  0.147568E-02  0.467731E-04  0.131498E-02  0.279330E-03  0.550374E-04  0.670075E-03  0.103654E-03  0.134605E-02  0.811427E-03  0.202076E+03
  0.100762E+03  0.283734E+01 -0.526928E+01  0.444551E+01  0.109086E-02  0.467731E-04  0.144193E-02  0.107624E-02  0.550374E-04  0.670075E-03  0.103654E-03  0.134605E-02  0.917588E-03  0.203956E+03
  0.988583E+02  0.283734E+01 -0.526928E+01  0.444551E+01  0.109086E-02  0.467731E-04  0.144193E-02  0.107624E-02  0.550374E-04  0.670075E-03  0.103654E-03  0.134605E-02  0.917588E-03  0.204228E+03
  0.988583E+02  0.283734E+01 -0.526928E+01  0.938811E+01  0.109086E-02  0.467731E-04  0.372173E-03  0.107624E-02  0.550374E-04  0.670075E-03  0.103654E-03  0.143333E-02  0.917588E-03  0.204763E+03
  0.988583E+02  0.283734E+01 -0.353191E+00  0.938811E+01  0.109086E-02  0.538652E-03  0.372173E-03  0.107624E-02  0.550374E-04  0.670075E-03  0.103654E-03  0.143333E-02  0.917588E-03  0.204649E+03
  0.988583E+02  0.283734E+01 -0.311010E+01  0.864550E+01  0.109086E-02  0.538652E-03  0.372173E-03  0.107624E-02  0.113224E-02  0.670075E-03  0.103654E-03  0.143333E-02  0.917588E-03  0.204855E+03
  0.988583E+02  0.283734E+01 -0.311010E+01  0.144167E+01  0.109086E-02  0.534678E-03  0.372173E-03  0.107624E-02  0.190762E-03  0.670075E-03  0.103654E-03  0.143333E-02  0.917588E-03  0.206451E+03
  0.988583E+02 -0.955551E+00 -0.352472E+01  0.307225E+01  0.109086E-02  0.534678E-03  0.372173E-03  0.107624E-02  0.190762E-03  0.670075E-03  0.103654E-03  0.284796E-03  0.917588E-03  0.206034E+03
  0.988583E+02 -0.955551E+00 -0.224961E+01  0.307225E+01  0.109086E-02  0.534678E-03  0.372173E-03  0.107624E-02  0.190762E-03  0.663666E-03  0.103654E-03  0.284796E-03  0.917588E-03  0.206039E+03
  0.984200E+02 -0.955551E+00 -0.224961E+01 -0.420955E+01  0.109086E-02  0.534678E-03  0.372173E-03  0.173841E-02  0.190762E-03  0.663666E-03  0.103654E-03  0.284796E-03  0.102501E-02  0.204785E+03
  0.984200E+02 -0.955551E+00 -0.224961E+01 -0.420955E+01  0.109086E-02  0.534678E-03  0.169030E-02  0.173841E-02  0.190762E-03  0.663666E-03  0.855638E-03  0.284796E-03  0.102501E-02  0.202491E+03
  0.984200E+02  0.484060E+01 -0.557701E+01 -0.438940E+01  0.109086E-02  0.120251E-02  0.169030E-02  0.173841E-02  0.190762E-03  0.663666E-03  0.855638E-03  0.284796E-03  0.102501E-02  0.202223E+03
  0.984200E+02  0.300730E+01 -0.557701E+01  0.290468E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.173841E-02  0.190762E-03  0.663666E-03  0.110142E-02  0.284796E-03  0.102501E-02  0.202182E+03
  0.984200E+02  0.300730E+01 -0.557701E+01  0.290468E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.173841E-02  0.190762E-03  0.663666E-03  0.110142E-02  0.284796E-03  0.102501E-02  0.202182E+03
  0.984200E+02  0.300730E+01 -0.878027E+01  0.481052E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.173841E-02  0.190762E-03  0.663666E-03  0.110142E-02  0.284796E-03  0.102501E-02  0.201435E+03
  0.984200E+02  0.292830E+01  0.308644E+01  0.481052E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.173841E-02  0.190762E-03  0.663666E-03  0.711012E-03  0.284796E-03  0.102501E-02  0.201286E+03
  0.984200E+02  0.292830E+01  0.308644E+01  0.481052E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.173841E-02  0.139033E-02  0.663666E-03  0.711012E-03  0.359073E-04  0.102501E-02  0.201315E+03
  0.984200E+02  0.513344E+01  0.246505E+01  0.481052E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.125695E-02  0.139033E-02  0.663666E-03  0.711012E-03  0.359073E-04  0.102501E-02  0.202006E+03
  0.984200E+02  0.513344E+01  0.246505E+01  0.481052E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.125695E-02  0.139033E-02  0.663666E-03  0.711012E-03  0.359073E-04  0.102501E-02  0.202006E+03
  0.984200E+02  0.513344E+01  0.489076E+01 -0.284334E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.102501E-02  0.199418E+03
  0.984200E+02  0.513344E+01  0.489076E+01 -0.284334E+01  0.109086E-02  0.256738E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.102501E-02  0.199418E+03
  0.984200E+02  0.513344E+01  0.489076E+01 -0.522363E+00  0.109086E-02  0.256738E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.197909E+03
  0.977855E+02  0.682234E+01  0.489076E+01 -0.522363E+00  0.109086E-02  0.327969E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.194818E+03
  0.977855E+02  0.682234E+01  0.489076E+01  0.206360E+01  0.109086E-02  0.211574E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.196896E+03
  0.977855E+02  0.682234E+01 -0.214033E+01  0.134396E+02  0.109086E-02  0.211574E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.198564E+03
  0.977855E+02  0.682234E+01 -0.703534E+00  0.134396E+02  0.109086E-02  0.211574E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.198514E+03
  0.977855E+02  0.682234E+01 -0.306752E+01  0.134396E+02  0.109086E-02  0.136915E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.199649E+03
  0.979422E+02  0.682234E+01  0.129254E+01  0.135358E+02  0.109086E-02  0.136915E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.199762E+03
  0.100607E+03  0.682234E+01  0.180198E+01  0.117528E+02  0.109086E-02  0.136915E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.200882E+03
  0.100607E+03  0.793301E+01  0.727706E+01  0.180055E+02  0.593138E-04  0.136915E-02  0.446896E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.201091E+03
  0.100607E+03  0.793301E+01  0.727706E+01  0.180055E+02  0.593138E-04  0.136915E-02  0.444077E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.201088E+03
  0.100607E+03  0.793301E+01  0.727706E+01  0.128397E+02  0.593138E-04  0.136915E-02  0.444077E-03  0.125695E-02  0.203089E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.201062E+03
  0.100217E+03  0.570111E+01  0.788075E+01  0.116492E+02  0.593138E-04  0.136915E-02  0.444077E-03  0.125695E-02  0.176291E-02  0.663666E-03  0.555916E-03  0.359073E-04  0.214983E-02  0.202677E+03
  0.100217E+03  0.570111E+01  0.788075E+01  0.232953E+02  0.593138E-04  0.136915E-02  0.444077E-03  0.908613E-03  0.176291E-02  0.663666E-03  0.555916E-03  0.758165E-03  0.214983E-02  0.199747E+03
  0.100837E+03  0.570111E+01  0.788075E+01  0.232953E+02  0.593138E-04  0.136915E-02  0.444077E-03  0.908613E-03  0.176291E-02  0.663666E-03  0.555916E-03  0.758165E-03  0.214983E-02  0.200939E+03
  0.100744E+03  0.570111E+01  0.788075E+01  0.940262E+01  0.593138E-04  0.136915E-02  0.444077E-03  0.908613E-03  0.176291E-02  0.663666E-03  0.555916E-03  0.758165E-03  0.214983E-02  0.203661E+03
  0.100744E+03  0.586079E+01  0.788075E+01  0.136131E+02  0.593138E-04  0.136915E-02  0.444077E-03  0.908613E-03  0.176291E-02  0.663666E-03  0.555916E-03  0.737125E-03  0.262109E-02  0.202802E+03
  0.100744E+03  0.586079E+01  0.788075E+01  0.789496E+01  0.593138E-04  0.136915E-02  0.444077E-03  0.908613E-03  0.176291E-02  0.663666E-03  0.555916E-03  0.567017E-03  0.262109E-02  0.203142E+03
  0.100744E+03  0.439281E+01  0.788075E+01  0.789496E+01  0.210818E-03  0.136915E-02  0.444077E-03  0.908613E-03  0.176291E-02  0.663666E-03  0.555916E-03  0.567017E-03  0.262109E-02  0.203428E+03
  0.100744E+03  0.439281E+01  0.788075E+01  0.789496E+01  0.210818E-03  0.133361E-02  0.444077E-03  0.908613E-03  0.156928E-02  0.663666E-03  0.555916E-03  0.248808E-03  0.169666E-02  0.205064E+03
  0.100744E+03  0.439281E+01  0.788075E+01  0.789496E+01  0.210818E-03  0.133361E-02  0.444077E-03  0.908613E-03  0.589308E-03  0.663666E-03  0.555916E-03  0.248808E-03  0.169666E-02  0.206725E+03
  0.100744E+03  0.439281E+01  0.788075E+01  0.789496E+01  0.210818E-03  0.133361E-02  0.444077E-03  0.908613E-03  0.161461E-02  0.663666E-03  0.555916E-03  0.248808E-03  0.169666E-02  0.204983E+03
  0.100744E+03  0.171787E+01  0.788075E+01  0.137543E+02  0.210818E-03  0.133361E-02  0.444077E-03  0.908613E-03  0.161461E-02  0.663666E-03  0.555916E-03  0.248808E-03  0.169759E-03  0.203783E+03
  0.100744E+03  0.171787E+01 -0.284525E+01 -0.733960E+01  0.903966E-03  0.133361E-02  0.444077E-03  0.908613E-03  0.121159E-02  0.663666E-03  0.555916E-03  0.744852E-03  0.169759E-03  0.207520E+03
  0.100744E+03  0.171787E+01  0.346176E+01 -0.382102E+01  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.121159E-02  0.663666E-03  0.555916E-03  0.573117E-03  0.169759E-03  0.207397E+03
  0.100744E+03  0.171787E+01 -0.151299E+00  0.283839E+00  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.121159E-02  0.663666E-03  0.555916E-03  0.573117E-03  0.169759E-03  0.207092E+03
  0.100744E+03  0.171787E+01 -0.151299E+00 -0.858383E+01  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.121159E-02  0.663666E-03  0.555916E-03  0.573117E-03  0.169759E-03  0.207804E+03
  0.100744E+03  0.171787E+01  0.363275E+01 -0.136208E+02  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.288693E-03  0.663666E-03  0.555916E-03  0.573117E-03  0.116207E-03  0.208229E+03
  0.100744E+03  0.367748E-02  0.152723E+01 -0.112319E+02  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.288693E-03  0.663666E-03  0.555916E-03  0.573117E-03  0.116207E-03  0.209455E+03
  0.100744E+03  0.367748E-02  0.152723E+01 -0.436350E+01  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.288693E-03  0.663666E-03  0.555916E-03  0.573117E-03  0.116207E-03  0.208974E+03
  0.100744E+03  0.367748E-02  0.152723E+01 -0.436350E+01  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.288693E-03  0.663666E-03  0.555916E-03  0.573117E-03  0.938747E-03  0.207794E+03
  0.100744E+03  0.367748E-02  0.152723E+01 -0.904733E-01  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.288693E-03  0.663666E-03  0.555916E-03  0.573117E-03  0.938747E-03  0.207353E+03
  0.100744E+03  0.367748E-02  0.152723E+01 -0.904733E-01  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.627814E-03  0.663666E-03  0.555916E-03  0.573117E-03  0.171453E-02  0.205684E+03
  0.100744E+03  0.367748E-02  0.954419E+00  0.139381E+01  0.903966E-03  0.133361E-02  0.334048E-03  0.908613E-03  0.627814E-03  0.398780E-03  0.555916E-03  0.573117E-03  0.171453E-02  0.205129E+03
  0.100744E+03 -0.478963E+00  0.293390E+01  0.139381E+01  0.903966E-03  0.142576E-02  0.334048E-03  0.908613E-03  0.627814E-03  0.398780E-03  0.555916E-03  0.573117E-03  0.171453E-02  0.205032E+03
  0.100744E+03 -0.478963E+00 -0.188060E+01 -0.100021E+02  0.903966E-03  0.142576E-02  0.745193E-03  0.908613E-03  0.627814E-03  0.398780E-03  0.555916E-03  0.573117E-03  0.171453E-02  0.204454E+03
  0.100744E+03 -0.418134E+01  0.145471E+02 -0.140478E+02  0.903966E-03  0.142576E-02  0.745193E-03  0.126507E-02  0.627814E-03  0.133647E-02  0.555916E-03  0.573117E-03  0.421236E-02  0.196955E+03
  0.100744E+03 -0.418134E+01  0.145471E+02 -0.110733E+02  0.903966E-03  0.142576E-02  0.745193E-03  0.126507E-02  0.107010E-02  0.133647E-02  0.555916E-03  0.573117E-03  0.421236E-02  0.197482E+03
  0.100744E+03 -0.418134E+01 -0.999132E+01 -0.158613E+02  0.903966E-03  0.337791E-04  0.745193E-03  0.851503E-04  0.879747E-03  0.153187E-02  0.555916E-03  0.573117E-03  0.421236E-02  0.198208E+03
  0.100744E+03 -0.418134E+01 -0.999132E+01 -0.178483E+02  0.921105E-03  0.337791E-04  0.745193E-03  0.851503E-04  0.879747E-03  0.153187E-02  0.555916E-03  0.573117E-03  0.504855E-02  0.197551E+03
  0.100744E+03 -0.100709E+01 -0.117201E+02 -0.178483E+02  0.921105E-03  0.337791E-04  0.745193E-03  0.851503E-04  0.879747E-03  0.153187E-02  0.968653E-03  0.573117E-03  0.529416E-02  0.198514E+03
  0.100744E+03 -0.100709E+01 -0.117201E+02 -0.122814E+02  0.921105E-03  0.337791E-04  0.745193E-03  0.254487E-02  0.761811E-03  0.153187E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.203427E+03
  0.100797E+03 -0.100709E+01 -0.136134E+02 -0.239456E+02  0.508353E-03  0.337791E-04  0.377087E-03  0.254487E-02  0.761811E-03  0.204361E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.200909E+03
  0.100738E+03 -0.100709E+01 -0.626752E+01 -0.239456E+02  0.508353E-03  0.337791E-04  0.377087E-03  0.269484E-02  0.761811E-03  0.204361E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.203035E+03
  0.100738E+03 -0.191483E+01 -0.626752E+01 -0.233640E+02  0.508353E-03  0.337791E-04  0.377087E-03  0.269484E-02  0.761811E-03  0.204361E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.203065E+03
  0.100738E+03 -0.501035E+00 -0.112402E+02 -0.200998E+02  0.508353E-03  0.409959E-03  0.377087E-03  0.269484E-02  0.761811E-03  0.204361E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.203327E+03
  0.100993E+03  0.322538E+01 -0.997406E+01 -0.198980E+02  0.508353E-03  0.409959E-03  0.124927E-02  0.269484E-02  0.761811E-03  0.204361E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.201787E+03
  0.100993E+03  0.322538E+01  0.506476E+00 -0.198980E+02  0.508353E-03  0.409959E-03  0.124927E-02  0.269484E-02  0.761811E-03  0.195306E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.201695E+03
  0.100993E+03  0.322538E+01  0.506476E+00 -0.218365E+02  0.508353E-03  0.409959E-03  0.124927E-02  0.269484E-02  0.761811E-03  0.195306E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.201227E+03
  0.100993E+03  0.322538E+01 -0.143777E+02 -0.218365E+02  0.508353E-03  0.409959E-03  0.543197E-03  0.269484E-02  0.761811E-03  0.246321E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.201363E+03
  0.100993E+03  0.322538E+01 -0.143777E+02 -0.148311E+02  0.508353E-03  0.409959E-03  0.543197E-03  0.135544E-02  0.761811E-03  0.246321E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.204788E+03
  0.100993E+03  0.364837E+01 -0.213726E+01 -0.105623E+00  0.508353E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.246321E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.206401E+03
  0.100993E+03  0.364837E+01  0.443754E+01 -0.105623E+00  0.508353E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.246321E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.206237E+03
  0.100993E+03  0.364837E+01  0.385234E+01 -0.105623E+00  0.508353E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.246321E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.206300E+03
  0.100993E+03  0.403105E+01  0.385234E+01 -0.105623E+00  0.508353E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.246321E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.206272E+03
  0.100993E+03  0.403105E+01 -0.411058E+01 -0.205038E+00  0.508353E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.246321E-02  0.968653E-03  0.573117E-03  0.101569E-02  0.206217E+03
  0.100993E+03  0.403105E+01 -0.411058E+01 -0.240487E+01  0.118980E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.246321E-02  0.968653E-03  0.234698E-03  0.101569E-02  0.206634E+03
  0.100993E+03  0.403105E+01 -0.475951E+01 -0.173785E+02  0.118980E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.246321E-02  0.968653E-03  0.234698E-03  0.101569E-02  0.205735E+03
  0.100993E+03  0.403105E+01 -0.475951E+01 -0.173785E+02  0.118980E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.270636E-02  0.968653E-03  0.234698E-03  0.101569E-02  0.205460E+03
  0.100993E+03  0.403105E+01 -0.475951E+01 -0.142227E+02  0.118980E-03  0.409959E-03  0.543197E-03  0.983282E-03  0.761811E-03  0.270636E-02  0.968653E-03  0.234698E-03  0.101569E-02  0.206015E+03
  0.100993E+03  0.403105E+01 -0.130297E+02 -0.399898E+01  0.118980E-03  0.409959E-03  0.543197E-03  0.941904E-03  0.761811E-03  0.270636E-02  0.968653E-03  0.234698E-03  0.101569E-02  0.204975E+03
  0.100993E+03  0.403105E+01 -0.130297E+02 -0.399898E+01  0.118980E-03  0.409959E-03  0.543197E-03  0.941904E-03  0.761811E-03  0.270636E-02  0.968653E-03  0.234698E-03  0.109691E-02  0.204760E+03
  0.100993E+03  0.403105E+01 -0.130297E+02 -0.733592E+01  0.118980E-03  0.409959E-03  0.543197E-03  0.941904E-03  0.761811E-03  0.270636E-02  0.968653E-03  0.234698E-03  0.109691E-02  0.205141E+03
  0.100993E+03  0.138754E+01 -0.101893E+02 -0.380806E+01  0.118980E-03  0.409959E-03  0.543197E-03  0.183782E-02  0.761811E-03  0.270636E-02  0.968653E-03  0.234698E-03  0.109691E-02  0.204467E+03
  0.100993E+03  0.112478E+01 -0.168298E+02 -0.413549E+01  0.118980E-03  0.409959E-03  0.543197E-03  0.183782E-02  0.761811E-03  0.270636E-02  0.968653E-03  0.234698E-03  0.109691E-02  0.202561E+03
  0.100993E+03  0.112478E+01 -0.168298E+02 -0.126177E+02  0.242053E-03  0.409959E-03  0.543197E-03  0.183782E-02  0.761811E-03  0.270636E-02  0.968653E-03  0.921704E-03  0.109691E-02  0.202620E+03
  0.100993E+03  0.141063E+01 -0.168298E+02 -0.126177E+02  0.164977E-04  0.483094E-03  0.543197E-03  0.123773E-02  0.761811E-03  0.270636E-02  0.968653E-03  0.921704E-03  0.109691E-02  0.203354E+03
  0.100993E+03  0.141063E+01 -0.168298E+02 -0.126177E+02  0.164977E-04  0.483094E-03  0.543197E-03  0.123773E-02  0.761811E-03  0.270636E-02  0.968653E-03  0.921704E-03  0.109691E-02  0.203354E+03
  0.100993E+03  0.356848E+00 -0.168298E+02 -0.154804E+02  0.164977E-04  0.483094E-03  0.543197E-03  0.123773E-02  0.761811E-03  0.270636E-02  0.968653E-03  0.921704E-03  0.109691E-02  0.203222E+03
