"Reach" "Covariate"
1 0
1 0.0914141414141414
1 0.182828282828283
1 0.274242424242424
1 0.365656565656566
1 0.457070707070707
1 0.548484848484849
1 0.63989898989899
1 0.731313131313131
1 0.822727272727273
1 0.914141414141414
1 1.00555555555556
1 1.0969696969697
1 1.18838383838384
1 1.27979797979798
1 1.37121212121212
1 1.46262626262626
1 1.5540404040404
1 1.64545454545455
1 1.73686868686869
1 1.82828282828283
1 1.91969696969697
1 2.01111111111111
1 2.10252525252525
1 2.19393939393939
1 2.28535353535354
1 2.37676767676768
1 2.46818181818182
1 2.55959595959596
1 2.6510101010101
1 2.74242424242424
1 2.83383838383838
1 2.92525252525253
1 3.01666666666667
1 3.10808080808081
1 3.19949494949495
1 3.29090909090909
1 3.38232323232323
1 3.47373737373737
1 3.56515151515152
1 3.65656565656566
1 3.7479797979798
1 3.83939393939394
1 3.93080808080808
1 4.02222222222222
1 4.11363636363636
1 4.20505050505051
1 4.29646464646465
1 4.38787878787879
1 4.47929292929293
1 4.57070707070707
1 4.66212121212121
1 4.75353535353535
1 4.8449494949495
1 4.93636363636364
1 5.02777777777778
1 5.11919191919192
1 5.21060606060606
1 5.3020202020202
1 5.39343434343434
1 5.48484848484849
1 5.57626262626263
1 5.66767676767677
1 5.75909090909091
1 5.85050505050505
1 5.94191919191919
1 6.03333333333333
1 6.12474747474748
1 6.21616161616162
1 6.30757575757576
1 6.3989898989899
1 6.49040404040404
1 6.58181818181818
1 6.67323232323232
1 6.76464646464647
1 6.85606060606061
1 6.94747474747475
1 7.03888888888889
1 7.13030303030303
1 7.22171717171717
1 7.31313131313131
1 7.40454545454546
1 7.4959595959596
1 7.58737373737374
1 7.67878787878788
1 7.77020202020202
1 7.86161616161616
1 7.9530303030303
1 8.04444444444444
1 8.13585858585859
1 8.22727272727273
1 8.31868686868687
1 8.41010101010101
1 8.50151515151515
1 8.59292929292929
1 8.68434343434343
1 8.77575757575758
1 8.86717171717172
1 8.95858585858586
1 9.05
1 9.05
1 9.14040404040404
1 9.23080808080808
1 9.32121212121212
1 9.41161616161616
1 9.5020202020202
1 9.59242424242424
1 9.68282828282828
1 9.77323232323232
1 9.86363636363637
1 9.95404040404041
1 10.0444444444444
1 10.1348484848485
1 10.2252525252525
1 10.3156565656566
1 10.4060606060606
1 10.4964646464646
1 10.5868686868687
1 10.6772727272727
1 10.7676767676768
1 10.8580808080808
1 10.9484848484848
1 11.0388888888889
1 11.1292929292929
1 11.219696969697
1 11.310101010101
1 11.4005050505051
1 11.4909090909091
1 11.5813131313131
1 11.6717171717172
1 11.7621212121212
1 11.8525252525253
1 11.9429292929293
1 12.0333333333333
1 12.1237373737374
1 12.2141414141414
1 12.3045454545455
1 12.3949494949495
1 12.4853535353535
1 12.5757575757576
1 12.6661616161616
1 12.7565656565657
1 12.8469696969697
1 12.9373737373737
1 13.0277777777778
1 13.1181818181818
1 13.2085858585859
1 13.2989898989899
1 13.3893939393939
1 13.479797979798
1 13.570202020202
1 13.6606060606061
1 13.7510101010101
1 13.8414141414141
1 13.9318181818182
1 14.0222222222222
1 14.1126262626263
1 14.2030303030303
1 14.2934343434343
1 14.3838383838384
1 14.4742424242424
1 14.5646464646465
1 14.6550505050505
1 14.7454545454545
1 14.8358585858586
1 14.9262626262626
1 15.0166666666667
1 15.1070707070707
1 15.1974747474747
1 15.2878787878788
1 15.3782828282828
1 15.4686868686869
1 15.5590909090909
1 15.649494949495
1 15.739898989899
1 15.830303030303
1 15.9207070707071
1 16.0111111111111
1 16.1015151515152
1 16.1919191919192
1 16.2823232323232
1 16.3727272727273
1 16.4631313131313
1 16.5535353535354
1 16.6439393939394
1 16.7343434343434
1 16.8247474747475
1 16.9151515151515
1 17.0055555555556
1 17.0959595959596
1 17.1863636363636
1 17.2767676767677
1 17.3671717171717
1 17.4575757575758
1 17.5479797979798
1 17.6383838383838
1 17.7287878787879
1 17.8191919191919
1 17.909595959596
1 18
