a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.113771E+03   0.392806E+02   0.180722E-03   0.749123E+01   0.105346E+02   0.111540E+02   0.131845E+02   0.489375E+02  -0.897919E+01   0.000000E+00   0.579167E+02  -0.115833E+03
   0.113771E+03   0.392806E+02   0.180722E-03   0.746592E+01   0.965061E+01   0.120316E+02   0.135263E+02   0.494843E+02  -0.843239E+01   0.000000E+00   0.579167E+02  -0.115833E+03
   0.113771E+03   0.392806E+02   0.180722E-03   0.746592E+01   0.857071E+01   0.147097E+02   0.163959E+02   0.495659E+02  -0.835086E+01   0.000000E+00   0.579168E+02  -0.115834E+03
   0.113771E+03   0.392806E+02   0.180722E-03   0.746592E+01   0.850741E+01   0.160316E+02   0.166158E+02   0.493622E+02  -0.855448E+01   0.000000E+00   0.579167E+02  -0.115833E+03
   0.113771E+03   0.392806E+02   0.180722E-03   0.815401E+01   0.850741E+01   0.171880E+02   0.160736E+02   0.496792E+02  -0.823753E+01   0.000000E+00   0.579167E+02  -0.115833E+03
   0.113771E+03   0.407656E+02   0.180722E-03   0.824253E+01   0.850741E+01   0.171614E+02   0.128684E+02   0.479241E+02  -0.819944E+01   0.000000E+00   0.561235E+02  -0.112247E+03
   0.113771E+03   0.407656E+02   0.180722E-03   0.824253E+01   0.947122E+01   0.175736E+02   0.147975E+02   0.481475E+02  -0.797600E+01   0.000000E+00   0.561235E+02  -0.112247E+03
   0.113287E+03   0.407656E+02   0.180722E-03   0.682503E+01   0.911199E+01   0.175736E+02   0.157667E+02   0.478958E+02  -0.926901E+01   0.000000E+00   0.571648E+02  -0.114330E+03
   0.113287E+03   0.407656E+02   0.180722E-03   0.701895E+01   0.954622E+01   0.193405E+02   0.161903E+02   0.475020E+02  -0.966283E+01   0.000000E+00   0.571648E+02  -0.114330E+03
   0.113287E+03   0.407656E+02   0.180722E-03   0.743490E+01   0.955608E+01   0.193405E+02   0.164569E+02   0.478618E+02  -0.930306E+01   0.000000E+00   0.571649E+02  -0.114330E+03
   0.113287E+03   0.407656E+02   0.180722E-03   0.743490E+01   0.955608E+01   0.180428E+02   0.141710E+02   0.485288E+02  -0.863606E+01   0.000000E+00   0.571649E+02  -0.114330E+03
   0.113447E+03   0.407656E+02   0.180722E-03   0.938260E+01   0.818877E+01   0.197765E+02   0.131448E+02   0.480029E+02  -0.886316E+01   0.000000E+00   0.568661E+02  -0.113732E+03
   0.113447E+03   0.407656E+02   0.180722E-03   0.971108E+01   0.850579E+01   0.190677E+02   0.138675E+02   0.485017E+02  -0.836441E+01   0.000000E+00   0.568661E+02  -0.113732E+03
   0.113447E+03   0.396049E+02   0.180722E-03   0.106202E+02   0.928109E+01   0.160518E+02   0.138676E+02   0.504455E+02  -0.748338E+01   0.000000E+00   0.579289E+02  -0.115858E+03
   0.113447E+03   0.396049E+02   0.180722E-03   0.107664E+02   0.928109E+01   0.159295E+02   0.139031E+02   0.504312E+02  -0.749770E+01   0.000000E+00   0.579289E+02  -0.115858E+03
   0.113447E+03   0.406703E+02   0.180722E-03   0.107325E+02   0.809839E+01   0.165341E+02   0.142433E+02   0.490892E+02  -0.793523E+01   0.000000E+00   0.570244E+02  -0.114049E+03
   0.113447E+03   0.406703E+02   0.156260E-03   0.989168E+01   0.839877E+01   0.145600E+02   0.149833E+02   0.496302E+02  -0.743620E+01   0.000000E+00   0.570664E+02  -0.114133E+03
   0.113447E+03   0.406703E+02   0.156260E-03   0.107519E+02   0.801012E+01   0.150083E+02   0.152095E+02   0.492586E+02  -0.780780E+01   0.000000E+00   0.570664E+02  -0.114133E+03
   0.113447E+03   0.391451E+02   0.156260E-03   0.102093E+02   0.784656E+01   0.166950E+02   0.164643E+02   0.497045E+02  -0.822990E+01   0.000000E+00   0.579344E+02  -0.115869E+03
   0.113447E+03   0.391451E+02   0.156260E-03   0.956960E+01   0.867317E+01   0.137438E+02   0.170445E+02   0.502440E+02  -0.769044E+01   0.000000E+00   0.579344E+02  -0.115869E+03
   0.113447E+03   0.391451E+02   0.156260E-03   0.935021E+01   0.739246E+01   0.149707E+02   0.170445E+02   0.495171E+02  -0.841734E+01   0.000000E+00   0.579344E+02  -0.115869E+03
   0.113447E+03   0.391451E+02   0.156260E-03   0.841738E+01   0.681295E+01   0.140815E+02   0.186060E+02   0.482369E+02  -0.969746E+01   0.000000E+00   0.579344E+02  -0.115869E+03
   0.113447E+03   0.407671E+02   0.156260E-03   0.841351E+01   0.681295E+01   0.166399E+02   0.178853E+02   0.471848E+02  -0.971781E+01   0.000000E+00   0.569026E+02  -0.113805E+03
   0.113447E+03   0.407671E+02   0.156260E-03   0.941959E+01   0.681295E+01   0.166399E+02   0.200958E+02   0.466013E+02  -0.103012E+02   0.000000E+00   0.569025E+02  -0.113805E+03
   0.113447E+03   0.407671E+02   0.156260E-03   0.104520E+02   0.749842E+01   0.179409E+02   0.214618E+02   0.462845E+02  -0.106180E+02   0.000000E+00   0.569025E+02  -0.113805E+03
   0.113447E+03   0.407671E+02   0.156260E-03   0.116338E+02   0.753742E+01   0.205848E+02   0.214618E+02   0.449584E+02  -0.119441E+02   0.000000E+00   0.569025E+02  -0.113805E+03
   0.113447E+03   0.408548E+02   0.156260E-03   0.116338E+02   0.817058E+01   0.200761E+02   0.222334E+02   0.450743E+02  -0.116881E+02   0.000000E+00   0.567624E+02  -0.113525E+03
   0.113447E+03   0.408548E+02   0.156260E-03   0.126338E+02   0.817058E+01   0.186767E+02   0.236527E+02   0.444097E+02  -0.123526E+02   0.000000E+00   0.567623E+02  -0.113525E+03
   0.113447E+03   0.382791E+02   0.156260E-03   0.126338E+02   0.847859E+01   0.180817E+02   0.224944E+02   0.455544E+02  -0.114327E+02   0.000000E+00   0.569871E+02  -0.113974E+03
   0.113447E+03   0.382791E+02   0.156260E-03   0.126114E+02   0.781165E+01   0.199511E+02   0.217403E+02   0.449125E+02  -0.120746E+02   0.000000E+00   0.569871E+02  -0.113974E+03
   0.113447E+03   0.382791E+02   0.156260E-03   0.129648E+02   0.781165E+01   0.206486E+02   0.217403E+02   0.444208E+02  -0.125662E+02   0.000000E+00   0.569870E+02  -0.113974E+03
   0.113447E+03   0.382791E+02   0.156260E-03   0.129648E+02   0.781165E+01   0.180657E+02   0.217403E+02   0.453990E+02  -0.115881E+02   0.000000E+00   0.569871E+02  -0.113974E+03
   0.113447E+03   0.382791E+02   0.156260E-03   0.142491E+02   0.759323E+01   0.184252E+02   0.214757E+02   0.444309E+02  -0.125562E+02   0.000000E+00   0.569871E+02  -0.113974E+03
   0.113447E+03   0.382791E+02   0.156260E-03   0.126385E+02   0.922920E+01   0.200141E+02   0.203771E+02   0.460005E+02  -0.109866E+02   0.000000E+00   0.569871E+02  -0.113974E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.121982E+02   0.944531E+01   0.205751E+02   0.203771E+02   0.464062E+02  -0.109792E+02   0.000000E+00   0.573854E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.121982E+02   0.998946E+01   0.206931E+02   0.189586E+02   0.468992E+02  -0.104861E+02   0.000000E+00   0.573853E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.122809E+02   0.985836E+01   0.206931E+02   0.178085E+02   0.472490E+02  -0.101363E+02   0.000000E+00   0.573853E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.103372E+02   0.105540E+02   0.203224E+02   0.178085E+02   0.479927E+02  -0.939266E+01   0.000000E+00   0.573854E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.966521E+01   0.991906E+01   0.216001E+02   0.180491E+02   0.475131E+02  -0.987223E+01   0.000000E+00   0.573853E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.956475E+01   0.998608E+01   0.216001E+02   0.180491E+02   0.475074E+02  -0.987797E+01   0.000000E+00   0.573854E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.874245E+01   0.998608E+01   0.216001E+02   0.196658E+02   0.468216E+02  -0.105637E+02   0.000000E+00   0.573853E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.874245E+01   0.849836E+01   0.214659E+02   0.213478E+02   0.459927E+02  -0.113927E+02   0.000000E+00   0.573854E+02  -0.114771E+03
   0.113447E+03   0.385418E+02   0.156260E-03   0.907665E+01   0.853669E+01   0.211339E+02   0.213478E+02   0.462294E+02  -0.111560E+02   0.000000E+00   0.573854E+02  -0.114771E+03
